Name,Sheet Description,Description,Website,Type,City,State,Country,Facebook,Instagram,Twitter,Produce,Grain,Meat,Dairy,Fibers,Flowers,Value Added Products,Accepting Volunteers,Phone #,Email
Darden Bridgeforth & Sons,Darden Bridgeforth & Sons // AL,"""Bridgeforth International (BI) is family-owned and operated in  Tanner Alabama . Since BI opened in 2012, we’ve treated every customer like they were a part of our family. Our exclusive partnership with Darden Bridgeforth and Sons, allows us to provide high quality products which are locally grown by experienced farmers.""",bridgeforthinternational.com,,Tanner,AL,United States,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,(256) 497-3590,
Fountain Heights Farm,,"""The mission of Fountain Heights Farms is to improve the quality of life for the current residents of the historic Fountain Heights community of Birmingham, Alabama through long term land stewardship by community-led urban agricultural cooperatives focused on meeting the immediate and basic need for healthy fresh foods, and through culturally responsive community education programs that support and inform urban agricultural initiatives in historically under-served areas of Birmingham, Alabama.""",https://www.facebook.com/fountainheightsfarms/,,Birmingham,AL,United States,,@fountainheightsfarms,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,(205) 730-6443,info@fountainheightsfarms.com
Webbs Urban Produce Farm,Webbs Urban Produce Farm // AR,,facebook.com/Webbs-Urban-Produce-Farms,,McCrory,AR,United States,Webbs-Urban-Produce-Farms,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,501) 388-3970,jw551387@gmail.com
Bright Star Community Development Corp,Bright Star Community Development Corp // AZ,"""Providing Resources & Services to Enrich, Empower and Improve Lives. Monthly Food Pantry. In Partnership with Southern AZ Community Food Bank/TUSD Backpack Program. Bright Star CDC engages in special care projects that will make a difference""",facebook.com/communityoutreachorganization,,Tucson,AZ,United States,communityoutreachorganization,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,(520) 345-3221,
Patagonia Flower Farm,Patagonia Flower Farm // AZ,"""The foundation of a healthy micro-farm starts with biologically diverse fields and healthy soil. Operated since 2017, Patagonia Flower Farm is your local source for fresh flowers that are never imported. Our organic practices are as healthy for the Earth as they are for your home and office.""",patagoniaflowerfarm.com,,,AZ,United States,,@patagoniaflowerfarm,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,(480) 225-7910,Info@PatagoniaFlowerFarm.com
Tiger Mountain Foundation,Tiger Mountain Foundation // AZ,"""The TigerMountain Foundation (TMF) plants fruits & veggies while cultivating better communities. This is done through community garden volunteer work. Our multi-cultural, inter-generational Asset Based Community Development (ABCD) means we don’t give a handout, we give the community a hand up.""",tigermountainfoundation.org,,Phoenix,AZ,United States,tigermntnfdn,@TigermountainFDN,@TigermountainFD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,(602) 687-7725,darren.chapman@tigermountainfoundation.org
African American Farmers of California demo farm,African American Farmers of California demo farm // CA,"""The mission of the African American Farmers of California (AAFCA) is to increase within the African American Community an appreciation and understanding of applied resource management through the promotion of sound farmland management, technology, community marketing, and outreach to urban and rural areas.""",facebook.com/AAFCalifornia,,Fresno,CA,United States,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Afrika Town Community Garden,Afrika Town Community Garden // CA,"""An urban haven in West Oakland, Afrika Town at Qilombo empowers community members via food sustainability, justice, self-defense training and self-care.""",facebook.com/afrikatowncommunitygarden,,West Oakland,CA,United States,,,AfrikaTown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,africanamericanfarmersofca@gmail.com
Black Earth Farms,Black Earth Farms // CA,,blackearthfarms.com/,,,CA,United States,,@blackearthfarms,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
City Heights Farmers Market,City Heights Farmers Market // CA,"""A True Multi-Cultural Urban Farmers' Market in the Heart of East San Diego City. We match CalFresh/EBT benefits! Double your food dollars with Market Match. Get up to $10 for FREE to spend on produce each week. Fresh fruits and vegetables, hot food vendors, arts and crafts, health programs, live entertainment, children's activities and more!""",facebook.com/CityHeightsFM/,,East San Diego City,CA,United States,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,(760) 504-4363,
