Name ,Description,City,State ,Phone,Email,Website,Facebook,Twitter,Instagram ,Linkedin
Amagram Farms ,Cultivates herbs and medicinal mushrooms; offers education and grow build services,Linden,NJ,,,,,,https://www.instagram.com/amagramfarms/,
Essex Micro Farm,Grows and sells herbs and vegetables,Montclair,NJ,,Essexmicrofarm@gmail.com,,,,https://www.instagram.com/essexmicrofarm/,
Free Haven Farms ,"Provides our community with the highest quality, freshest produce; offers gardening services, soil testing, a summer youth camp; and yoga and fitness classes",Lawnside,NJ,609-332-4892,freehavenfarms@gmail.com,https://freehaveneducationalfarms.com/,https://www.facebook.com/FreeHavenFarms/?__tn__=%2Cd%3C-R&eid=ARCeOuuvHBOnS2ND5LDEvEzGMh7eLTBku_ceiA9MJ-g0l-IgyEGfLrJ49zZoxpTUWBeLi_Q7GWGyStAw,,,
Hawk Mountain Earth Center ,Grows mushrooms,Newark,NJ,908-577-4550,Liligomez13@gmail.com,http://www.hawkmountainearthcenter.org/,,,,
Hyah Heights,"Grows herbs, produce and strawberries; focuses on offering educational workshops",Newark,NJ,,,,https://www.facebook.com/hyahheights/,,https://www.instagram.com/hyah_heights/,
Jerzey Buzz,Urban beekeeping; sells honey and products made from bee production,Newark,NJ,,,http://www.jerseybuzz.net/,https://www.facebook.com/JerseyBuzz-187359271281372/,,,
N.I.C.E Enterprises ,"Provides beekeeping services that sell local, raw honey",East Orange,NJ, 973-913-4507,,,https://www.facebook.com/NICEHONEYEO/,,,
Noble Mushrooms ,Grows and sells mushrooms; Sells blocks with spores to farmers,Bridgewater,NJ,908-393-1292,jacob@noblemushrooms.com,,https://www.facebook.com/Noblemushrooms,,https://www.instagram.com/Noblemushrooms/,
Morris Gbolo’s World Crop Farms,Specializes in growing and selling African diaspora crops,Vineland,NJ ,609-289-5153,,http://site.worldcropsfarm.com/,,,,
Ward’s Farm,Grows and sells sun flowers and cut flowers,Salem,NJ,609-385-6278,wardsfarmnj@gmail.com,http://wardsfarmnj.com/,https://www.facebook.com/wardsfarm/,,https://www.instagram.com/wardsfarmnj/,
Zach & Zoë Honey Sweet Bee Farm,Harvests and sells honey and superfoods,Stockton,NJ,,hello@zachandzoe.co,,,https://twitter.com/Zachandzoehoney,https://www.instagram.com/zachandzoehoney/,
Basil Exotic Leaf ,Grows and sells herbs from their edible food forest system; specializes in basil,New York,NY,,basil.exotic.leaffoodforests@gmail.com,,https://www.facebook.com/BELFOODFORESTSYSTEMS/,,https://www.instagram.com/basilexoticleaf.foodforests/,
Hattie Carthan Herban Farm ,"Aggregates local foods collected from local gardeners who agree to grow chemical free, high-density foods",Brooklyn,NY,212-561-7327,hattiecarthancommunitymarket@yahoo.com,https://www.hattiecarthancommunitymarket.com/,https://www.facebook.com/HattieCarthanGardenMarkets,,https://www.instagram.com/hattie.carthan/,
Isabahlia Garden ,Serves the community of Brownsville and surrounding neighborhoods by offering gardening programs and plots at a number of community gardens,Brooklyn,NY,718-498-3174,,https://www.isabahlialoefinc.org/,,,https://www.instagram.com/isabahlialoef/,
La Familia Verde,"A coalition of community gardens in the Crotona, East Tremont and West Farms neighborhoods that sustain the environment and culture of our neighborhood through education, community service and horticulture",Bronx,NY,,,http://www.lafamiliaverde.org/,,,https://www.instagram.com/lafamilia.verde/,
