,OF_ID,address,city,state,stateFIPS,zip,x,y,name,website,facebook,twitter,season1_date,season1_time,season1_notes,season1_products,season2_date,season2_time,season2_notes,season2_products,season3_date,season3_time,season3_notes,season3_products,season4_date,season4_time,season4_notes,season4_products,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10,Product_11,Product_12,Product_13,Product_14,Product_15,Product_16,Product_17,Product_18,Product_19,Product_20,Product_21,Product_22,Product_23,Product_24,Product_25,Product_26,Product_27,Product_28,ActivityList,Activity_1,Activity_2,Activity_3,Activity_4,Activity_5,Activity_6,Activity_7,Activity_8,Activity_9,Activity_10,Activity_11,FacilitiesList,Facilities_1,Facilities_2,Facilities_3,Facilities_4,Facilities_5,Payment_2,Payment_3,Payment_4,Payment_1
0,4017399,10600 Highland Springs Ave.,Cherry Valley,California,6,92223.0,-116.944304,33.969105,123 Farm at Highland Springs Resort,www.123farm.com,https://www.facebook.com/hsresort,,01/01/2014 to 12/31/2014,Tue: 8:00 AM - 8:00 PM;Wed: 8:00 AM - 8:00 PM;Thu: 8:00 AM - 8:00 PM;Fri: 8:00 AM - 8:00 PM;Sat: 8:00 AM - 8:00 PM;Sun: 8:00 AM - 3:00 PM;,We are closed on Mondays. The hiking trails are open Tues.-Sun. all summer and weekends ONLY fall and winter,Baked goods; Cut flowers; Herbs; Soap; Wild harvested forest products;,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Celebrations/ corporate events; Educational tours/ classes; Farm meals (lunches, dinners, etc.);  Other: farm camp programs for schools: www.123farm/school;",1,1,1,0,0,0,0,0,0,0,0,Hand washing station(s); Flush toilets; Picnic areas with tables; ,1,1,0,1,0,1,1,1,0
1,4017170,13701 NE 171st Street,Woodinville,Washington,53,98072.0,-122.1569875,47.75023970000001,21 Acres Farm Market,21acres.org,https://www.facebook.com/21Acres,,05/28/2014 to 12/27/2014,Wed: 11:00 AM - 6:00 PM;Thu: 11:00 AM - 6:00 PM;Fri: 11:00 AM - 6:00 PM;Sat: 10:00 AM - 4:00 PM;,Except National Holidays,Baked goods; Canned or preserved food; Coffee and/or tea; Dairy products; Dry beans; Eggs; Fish and/or seafood; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour; Honey; Juices; Mushrooms; Nuts; Prepared foods; Wild harvested forest products;,01/02/2015 to 05/30/2015,Fri: 11:00 AM - 6:00 PM;Sat: 10:00 AM - 4:00 PM;,Except National Holidays,Baked goods; Canned or preserved food; Coffee and/or tea; Dairy products; Dry beans; Eggs; Fish and/or seafood; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour; Honey; Juices; Mushrooms; Nuts; Prepared foods; Wild harvested forest products;,,,,,,,,,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,"Celebrations/ corporate events; Educational tours/ classes; Farm meals (lunches, dinners, etc.); Family/ youth activities;  Tours of manufacturing facilities; ",1,1,1,1,0,1,0,0,0,0,0,Hand washing station(s); Flush toilets; Picnic areas without tables; Picnic areas with tables; ,1,1,1,1,0,1,1,1,1
2,4001442,1876 Brooksfield Rd,Blacksburg,Virginia,51,24060.0,-80.491034,37.216789,3 Birds Berry Farm,3birdsberryfarm.com,https://www.facebook.com/3BirdsBerryFarm,,06/20/2014 to 09/01/2014,,"Our hours change during the picking season according to the crops in, but generally we pick 5 mornings and 1 evening each week. Call the 552-4195 for weekly updated message of picking hours and crops in.",Canned or preserved food; Cut flowers; Fresh fruits;,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Other: U-Pick berry farm with 5.5 acres of small fruit crops;,0,0,0,0,0,0,0,0,0,0,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,0,0,0
3,4022418,10769 N 1500W Rd,Manteno,Illinois,17,60950.0,-87.906847,41.276258,3 Winds Farm,www.3windsfarm.com,http://facebook.com/3windsfarm/,,01/01/2020 to 04/30/2020,,By appointment;In Winter and early spring months we are open by appointment for body products and candles and when pork and produce are available.,"Baked goods; Herbs; Non-poultry meat; Soap; Candles, warmer melts, CBD oil;",05/01/2020 to 08/31/2020,Mon: 10:00 AM - 7:00 PM;Tue: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 3:00 PM;Sat: 10:00 AM - 3:00 PM;,Hours may change due to inclement weather.,"Cut flowers; Herbs; Fresh vegetables; Non-poultry meat; Soap; Candles, wax melts, CBD oil;",09/01/2020 to 10/31/2020,Mon: 10:00 AM - 6:00 PM;Tue: 10:00 AM - 6:00 PM;Wed: 10:00 AM - 6:00 PM;Thu: 10:00 AM - 6:00 PM;Fri: 10:00 AM - 3:00 PM;Sat: 10:00 AM - 2:00 PM;,Hours may change due to inclement weather,"Herbs; Fresh vegetables; Non-poultry meat; Soap; Candles, warmer melts, CBD oil;",11/01/2020 to 12/31/2020,,"By appointment;In Winter we are open by appointment for candles, body products, pork and produce when in season.","Herbs; Fresh vegetables; Non-poultry meat; Soap; Candles, warmer melts, CBD oil;",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1
4,4001439,41031 Highway 1056,Franklinton,Louisiana,22,70438.0,-90.21545400000001,30.870115999999996,3D Blueberry Farm,http://www.3dblueberries.com,https://www.facebook.com/3DBlueberryFarm,,06/01/2014 to 07/12/2014,Wed: 7:00 AM - 7:00 PM;Sat: 7:00 AM - 7:00 PM;Sun: 7:00 AM - 7:00 PM;,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pick Your Own/U-Pick operation; ,0,0,0,0,1,0,0,0,0,0,0,Flush toilets; Picnic areas without tables; ,0,1,1,0,0,1,1,0,0
5,4017665,1692 18th Road,Washington,Kansas,20,66968.0,-97.06819499999999,39.828053999999995,4K Ranch,,,,01/01/2015 to 12/31/2015,Mon: 4:00 PM - 8:00 PM;Tue: 4:00 PM - 8:00 PM;Wed: 4:00 PM - 8:00 PM;Thu: 4:00 PM - 8:00 PM;Fri: 4:00 PM - 8:00 PM;Sat: 8:00 AM - 8:00 PM;Sun: 11:00 AM - 5:00 PM;,,Non-poultry meat;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, Other: Farm tours on horse back.;,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
6,4017569,8259 Keys Road,Mount Vernon,Ohio,39,43050.0,-82.56201,40.358681,4R Angus Farm,4RAngusFarm.weebly.com,4R Angus Farm,,,,Black Angus All Natural Grass Fed Beef and Chicken available year round.  Grain fed upon request.,Poultry products; Non-poultry meat;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Educational tours/ classes; Family/ youth activities;  Hay rides; Pony rides; ,0,1,0,1,0,0,0,1,0,0,1,Hand washing station(s); Flush toilets; Picnic areas with tables; ,1,1,0,1,0,1,1,0,0
7,4022273,596 Crump Creek Rd,Blairsville ,Georgia,13,30512.0,-83.913113,34.854805,7M Family Farms LLC,www.7mfamilyfarms.com,7M Family Farms ,,01/01/2017 to 12/31/2017,Mon: 10:00 AM - 5:00 PM;Tue: 10:00 AM - 5:00 PM;Wed: 10:00 AM - 5:00 PM;Thu: 10:00 AM - 5:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 6:00 PM;Sun: 12:00 PM - 4:00 PM;,Open during season only store offers locally grown products,"Baked goods; Canned or preserved food; Coffee and/or tea; Crafts and/or woodworking items; Cut flowers; Dairy products; Dry beans; Eggs; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour; Grass Fed Beef, also certified Beefalo ;",,,,,,,,,,,,,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Celebrations/ corporate events; Educational tours/ classes; Family/ youth activities;  Pick Your Own/U-Pick operation; Tours of manufacturing facilities; Hay rides; Corn maze; ,1,1,0,1,1,1,0,1,1,0,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,1,0,0
8,4015885,37938 Charles Town Pike,Purcellville,Virginia,51,20132.0,-77.690603,39.188266,A Dozen Eggs,www.pastureraisedeggs.com,,,01/01/2014 to 12/31/2014,,,Canned or preserved food; Eggs; Honey; Pet food; Poultry products; Wine;,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,Educational tours/ classes; ,0,1,0,0,0,0,0,0,0,0,0,Picnic areas with tables; ,0,0,0,1,0,1,1,0,0
9,4017540,251 Lost Oak,Bandera,Texas,48,78003.0,-99.035729,29.745359000000004,A Garden in Every Home,http://www.agardenineveryhome.com/,https://www.facebook.com/AGardenInEveryHome,,01/01/2014 to 12/31/2014,,"I have an assortment of exotic plants, Black Spanish, Blanc Du bois and Victoria Red Grapes plant starts, Assorted Herbs, and Veggie plants, By Appointment ONLY, Please call 210-413-7392",Bedding plants; Cut flowers; Fresh fruits; Nursery stock;,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Educational tours/ classes; ,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,0
