name,street,city,state,zip,x,y,website,facebook,twitter,email,phone,fmid,operation id,data_source,current_ww_vendor,compared
Lansdale Farmers' Market,400 Penn Street,Lansdale,Pennsylvania,19446,-75.277496,40.234201,http://www.lansdalefarmersmarket.org/,,,,,1019756.0,,operators,NO,true
Merchantville Market Off Centre,N. Centre St. & Chestnut Ave.,Merchantville,New Jersey,08109,-75.0490757,39.9524734,http://www.facebook.com/merchantvillemarketoffcentre/,,,,,1018093.0,,operators,NO,true
Yardlet Farmers Market - Indoor Winter Market,65 N. Main St.,Yardley borough,Pennsylvania,19067,-74.841627,40.243417,http://www.yardleyfarmersmarket.com,,,,,1019708.0,,operators,NO,true
Yardley Farmers Market,Buttonwood Park,Yardley borough,Pennsylvania,19067,-74.83986800000001,40.240633,http://yardleyfarmersmarket.com/,,,,,1018508.0,,operators,NO,true
Swarthmore Farmers Market,121 Park Avenue,Swarthmore,Pennsylvania,19081,-75.34911,39.901799,http://www.swarthmorefarmersmarket.org/,,,,,1019437.0,,operators,NO,true
Pennington Farmers Market,101 Route 31 N,Pennington,New Jersey,08534,-74.795475,40.34913,,,,,,1019854.0,,operators,NO,true
Hunterdon Land Trust Farmers Market,111 Mine Street,Flemington,New Jersey,08822,-74.871278,40.5056638,http://www.hunterdonlandtrust.org,,,,,1019056.0,,operators,NO,true
Emmaus Farmers' Market,235 Main St,Emmaus,Pennsylvania,18049,-75.4903,40.5366,http://www.emmausmarket.com,,,,,1002657.0,,operators,NO,true
Downingtown Farmers Market,1 Park Lane,Downingtown,Pennsylvania,19335,-75.705606,40.007243,,,,,,1016867.0,,operators,NO,true
Fresh2You Mobile Market,"Phoenixville, Pottstown, Coatesville, Parkesburg, West Chester, Kennett Square and Oxford","Phoenixville, Pottstown, Coatesville, Parkesburg, West Chester, Kennett Square and Oxford",Pennsylvania,06/12/2018 to 11/17/2018,-75.74845400000001,39.9731925,http://chestercountyfoodbank.org/programs/fresh2you/,,,,,1012466.0,,operators,NO,true
KSQ Farmers Market,401 Birch St,Kennett Square,Pennsylvania,19348,-75.705331,39.842787,,,,,,1021244.0,,operators,NO,true
Northampton Pa Farmers Market,1401 Laubach Avenue Municipal Park,Northampton ,Pennsylvania,18067,-75.489035,40.68427800000001,,,,,,1019640.0,,operators,NO,true
Bridgewater Farmer's Market,1 Vogt Drive,Bridgewater,New Jersey,08807,-74.60797600000001,40.588552,http://www.facebook.com/BridgewaterFarmersMarketNJ/,,,,,1019146.0,,operators,NO,true
Bedminster Farmers Market,3055 River Road,Bedminster,New Jersey,07921,-74.646889,40.662856,http://bedminsternj.hosted.civiclive.com/township_services/farmers_market,,,,,1019400.0,,operators,NO,true
The Market at Long Valley,66 East Mill Road,Long Valley,New Jersey,07853,-74.770016,40.784492,http://themarketlvnj.wixsite.com/themarket-longvalley,,,,,1019504.0,,operators,NO,true
SCOTCH PLAINS FARMERS' MARKETPLACE,"430 Park Ave (Municipal Parking Lot), Scotch Plains, New Jersey 07076",Scotch Plains,New Jersey,07076,-74.39755699999999,40.650167,http://SCOTCHPLAINSFARMERSMARKET.COM,,,,,1012037.0,,operators,NO,true
The Farmers’ Market at Rutherfurd Hall,1686 county road 517,Allamuchy,New Jersey,07820,-74.813622,40.914599,,,,,,1019751.0,,operators,NO,true
AG Farmers' Market,108 Indian Head Road,Toms River,New Jersey,08753,-74.20747800000001,39.99250900000001,,,,,,1019203.0,,operators,NO,true
Blairstown Farmers' Market,5 Stillwater Road,Blairstown,New Jersey,07825,-74.955689,40.982893,,,,,,1012163.0,,operators,NO,true
Morris County Winter Farmers' Market,26 Mills Street,Morristown,New Jersey,07960,-74.48994499999999,40.801309,,,,,,1012166.0,,operators,NO,true
Madison NJ Farmers Market,Central Avenue between Cook Avenue and Main Street,Madison,New Jersey,07940,-74.414532,40.759057,http://www.rosenet.org/gov/ddc,,,,,1005201.0,,operators,NO,true
West Orange Farmers Market,80 Main Street,West Orange,New Jersey,07052,-74.23813100000001,40.780392,,,,,,1019424.0,,operators,NO,true
East Orange Farmer's Market,44 City Hall Plaza,East Orange,New Jersey,07018,-74.209979,40.76125,,,,,,1019510.0,,operators,NO,true
26th Annual Highlands Business Partnership's Farmers Market,71 Waterwitch Avenue,Highlands,New Jersey,07732,-73.99435799999999,40.404837,http://www.highlandsnj.com,,,,,1000709.0,,operators,NO,true
The Township of Little Falls Farmers Market,225 Main St,Little Falls,New Jersey,07424,-74.21035,40.872239,,,,,,1020015.0,,operators,NO,true
Nutley Farmers Market,537 Franklin Avenue,Nutley,New Jersey,07110,-74.154584,40.824341,http://www.nutleynj.org/farmersmarket,,,,,1019127.0,,operators,NO,true
Harvest Home Coney Island Hospital Market,Ocean Pkwy btwn Shore Pkwy & Avenue Z,New York,New York,06/05/2019 to 11/20/2019,-73.96612900000001,40.58551,,,,,,1019375.0,,operators,NO,true
"Ocean City, NJ Farmers & Crafters Market",6th Street & Asbury Avenue,Ocean City,New Jersey,08226,-74.572082,39.282143,http://www.oceancityvacation.com,,,,,1006250.0,,operators,NO,true
