Company Name,Executive First Name,Executive Last Name,Executive Gender,Executive Title,Executive Ethnicity,Address,City,State,ZIP Code,Record Type,Phone Number,Website,Primary SIC Description,Location Sales Range,Credit Alpha Score
3rd Generation Enterprise,Marlen,Bracho,Female,Owner,Hispanic,11 New St # 1,Englewood Cliffs,NJ,7632,Verified,(201) 731-3382,NULL,Beverages (Whls),$5-10 Million,C+
A Gimenez Trading LLC,Melissa,Laserna,Female,CEO,Hispanic,5 Wegmann Way,Oak Ridge,NJ,7438,Verified,(973) 697-2240,Manilasihawan.Com,Food Products (Whls),$10-20 Million,B+
A Oliveri & Sons,Iggy,Depalma,Male,Owner,Mediterranean,4401 Dell Ave,North Bergen,NJ,7047,Verified,(201) 319-9112,Aoliveriandsons.Com,Food Brokers (Whls),$10-20 Million,A
Aak Foodservice USA,Anthony,Alves,Male,President,Hispanic,465 Hillside Ave,Hillside,NJ,7205,Verified,(908) 964-0477,Oasisfoods.Com,Condiments & Sauces-Manufacturers,$50-100 Million,A+
Acosta Sales & Marketing,Manny,Garcia,Male,Executive VP,Hispanic,3 University Plz # 24,Hackensack,NJ,7601,Verified,(201) 968-3600,Acosta.Com,Marketing Programs & Services,$1-2.5 Million,A
Advanced Bio Tech,James,Mulligan,Male,Owner,Western Europe,10 Taft Rd,Totowa,NJ,7512,Verified,(973) 339-6242,NULL,Biotechnology Products & Services,0,A
Agilex Fragrances,Raymond J,Hughes,Male,CEO,Western Europe,140 Centennial Ave,Piscataway,NJ,8854,Verified,(800) 542-7662,Agilexfragrances.Com,Perfumes Cosmetics/Toilet Preps (Mfrs),0,A+
Al Paso Food Ctr,Cocepciion,Magana,Male,Owner,Hispanic,2026 Bergenline Ave,Union City,NJ,7087,Verified,(201) 624-8242,NULL,Grocers-Retail,"Less Than $500,000",C
Albert's Organics Inc,Scott,Dennis,Male,President,Western Europe,1155 Commerce Blvd,Swedesboro,NJ,8085,Verified,(856) 241-9090,Albertsorganics.Com,Fruits & Vegetables-Wholesale,0,A+
Alexa Deli Meat Food Mkt Corp,Wilber A,Duran,Male,Manager,Hispanic,670 18th Ave,Irvington,NJ,7111,Verified,(973) 372-1496,NULL,Delicatessens-Wholesale,$2.5-5 Million,B
Algarve Fish Market,Antonio,Lorenco,Male,Owner,Hispanic,26 Center St,Elizabeth,NJ,7202,Verified,(908) 355-6363,Algarvefishmarket.Com,Seafood-Wholesale,$5-10 Million,B+
Allen Flavors Inc,Joseph,Allen,Male,Owner,Western Europe,230 Saint Nicholas Ave,South Plainfield,NJ,7080,Verified,(908) 561-5995,Allenflavors.Com,Flavoring Extracts-Manufacturers,$20-50 Million,A+
Allied Old English Inc,Fred C,Ross,Male,CEO,Western Europe,100 Markley St,Port Reading,NJ,7064,Verified,(732) 602-8955,Alliedoldenglish.Com,Canning (Mfrs),$20-50 Million,A
Allstate Produce Corp,Kamy,Maalizadeh,Female,President,Middle Eastern,333 Veterans Blvd,Carlstadt,NJ,7072,Verified,(201) 933-0020,Allstateproduce.Com,Fruits & Vegetables-Wholesale,$5-10 Million,B+
Alpha Liquor Store,Kucha,Culla,Male,Owner,Hispanic,1515 W Lake Ave,Neptune,NJ,7753,Verified,(732) 774-1360,NULL,Liquors-Retail,"$500,000-1 Million",B
Alpine Bakery Inc,Daniel,Torres,Male,Owner,Hispanic,521 30th St,Union City,NJ,7087,Verified,(201) 902-0605,NULL,Bakers-Wholesale,$10-20 Million,B+
Altamura Bakery,Rotolfo,Almazo,Male,Owner,Hispanic,12 W 48th St,Bayonne,NJ,7002,Verified,(201) 437-0022,NULL,Bakers-Retail,"Less Than $500,000",B
Amaro Food Enterprises Inc,Jose,Rey,Male,President,Hispanic,2011 8th St,North Bergen,NJ,7047,Verified,(201) 902-9994,Amarofoods.Com,Meat-Wholesale,$20-50 Million,A+
AMC Direct Inc,Roberto,Crespo,Male,Operations,Hispanic,800 Ellis Mill Rd,Glassboro,NJ,8028,Verified,(856) 243-5014,NULL,Fruits & Vegetables-Wholesale,$20-50 Million,A
America's Bakery,Henry,Roch,Male,Owner,Western Europe,32 Buffington Ave,Irvington,NJ,7111,Verified,(973) 372-0700,Americasbakery.Com,Bakers-Wholesale,$50-100 Million,A
American Bridge Co,Kwadwo,Akoto,Male,Vice President,African American,1 Bridge Plz N # 340,Fort Lee,NJ,7024,Verified,(201) 592-1200,Americanbridge.Net,Construction Companies,$2.5-5 Million,B
