Company Name,Executive First Name,Executive Last Name,Executive Gender,Executive Title,Executive Ethnicity,Address,City,State,ZIP Code,Record Type,Phone Number Combined,Website,Primary SIC Description,Location Sales Volume Range,Credit Score Alpha
1040 Sherman Ave Supermarket,Rafeal,Diaz,Male,Owner,Hispanic,1040 Sherman Ave,Bronx,NY,10456,Verified,(718) 992-0708,NULL,Grocers-Wholesale,$50-100 Million,A+
18th Street Tarallucci E Vino,Luca,Dipetro,Male,Owner,Mediterranean,15 E 18th St,New York,NY,10003,Verified,(212) 228-5400,Taralluccievino.Net,Restaurants,$1-2.5 Million,B+
2172 Crotona Deli Market,Carlos,Herrera,Male,Owner,Hispanic,2300 Crotona Ave,Bronx,NY,10458,Verified,(718) 561-7598,NULL,Grocers-Wholesale,$5-10 Million,B+
2184 Havemeyer Corp,Maria,Brez,Female,Owner,Hispanic,181 Havemeyer St,Brooklyn,NY,11211,Verified,(718) 782-0869,NULL,Meat-Wholesale,$2.5-5 Million,B+
2690 Grocery Corp,Juan,Reyes,Male,Owner,Hispanic,2690 3rd Ave,Bronx,NY,10454,Verified,(718) 993-2335,NULL,Grocers-Wholesale,$10-20 Million,A
492 Supermarket Corp,Juan,Guzman,Male,Owner,Hispanic,492 Myrtle Ave,Brooklyn,NY,11205,Verified,(718) 857-5579,NULL,Grocers-Retail,"Less Than $500,000",C+
4c Foods Corp,John,Celauro,Male,President,Mediterranean,580 Fountain Ave,Brooklyn,NY,11208,Verified,(718) 272-4242,4c.Com,Beverage Powders (Mfrs),$20-50 Million,A+
5 Napkin Burger-Union Square,Lama,Angyal,Female,General Mgr,Middle Eastern,150 E 14th St,New York,NY,10003,Verified,(212) 228-5500,5napkinburger.Com,Restaurants,$5-10 Million,B+
588 Restaurant Corp Caridad,Angelana,Delacruz,Female,Manager,Hispanic,588 Amsterdam Ave,New York,NY,10024,Verified,(212) 595-8121,NULL,Restaurants,"Less Than $500,000",C+
5linx Enterprises Inc,Frank,Ewing,Male,CEO,Western Europe,400 Andrews St # 400,Rochester,NY,14604,Verified,(585) 334-2600,5linx.Com,Telecommunications Consultants,,A+
69 Pizzeria,Genaro,Martinez,Male,Manager,Hispanic,4917 69th St,Woodside,NY,11377,Verified,(718) 898-8899,69pizzeria.Com,Pizza,"Less Than $500,000",B
83rd Street Tarallucci E Vino,Lorenzo,Baricca,Male,Owner,Mediterranean,475 Columbus Ave,New York,NY,10024,Verified,(212) 362-5454,Taralluccievino.Net,Restaurants,$1-2.5 Million,B+
94 Cornercafe,Mohinder,Sing,Male,Manager,African American,2518 Broadway,New York,NY,10025,Verified,(212) 280-1900,94cornercafemenu.Com,Coffee Shops,"$500,000-1 Million",B
A Churrasqueira Rstrnt & Bar,Manuel,Cardoso,Male,Owner,Hispanic,9529 Sutphin Blvd,Jamaica,NY,11435,Verified,(718) 523-5293,NULL,Restaurants,"$500,000-1 Million",B+
A J Trucco Inc,Nick,Pacia,Male,CEO,Hispanic,343 Hunts Point Term Mkt,Bronx,NY,10474,Verified,(718) 893-3060,Findingresult.Com,Fruits & Vegetables & Produce-Retail,"$500,000-1 Million",B+
A To Z Liquors,Abraham,Zuniga,Male,Manager,Hispanic,18511 Union Tpke,Fresh Meadows,NY,11366,Verified,(347) 238-1644,NULL,Liquors-Retail,"$500,000-1 Million",B
A-Roma Bakery Inc,Alberto,Mezzoli,Male,Owner,Hispanic,475 Grand St,Brooklyn,NY,11211,Verified,(718) 388-8182,NULL,Beverages (Whls),$5-10 Million,B+
Abarrotear Central Corp,Philip,Moreno,Male,Owner,Hispanic,4205 97th Pl,Flushing,NY,11368,Verified,(718) 651-4024,NULL,Grocers-Wholesale,$2.5-5 Million,B
Absolute Wine & Spirits,Katia,Matias,Female,General Mgr,Hispanic,3413 30th Ave,Astoria,NY,11103,Verified,(718) 726-1826,Absolutewineandspirits.Com,Liquors-Retail,$1-2.5 Million,B
Ace Endico,Jim,Cannillo,Male,Director,Mediterranean,581 Austin Pl,Bronx,NY,10455,Verified,(718) 665-2913,Aceendico.Com,Food Products (Whls),$5-10 Million,B+
Ace Endico Corp,William,Endico,Male,CEO,Mediterranean,80 International Blvd,Brewster,NY,10509,Verified,(212) 517-3035,Aceendico.Com,Food Products (Whls),,A+
Ace Natural,Tor,Newman,Male,CEO,Western Europe,249 E Sandford Blvd,Mount Vernon,NY,10550,Verified,(718) 784-6000,Acenatural.Com,Food Facilities (Whls),$20-50 Million,A
Aces Beer & Soda Distrs Inc,Xavier,Alfieri,Male,President,African American,2397 Dean St,Brooklyn,NY,11233,Verified,(718) 495-2828,NULL,Beer & Ale-Wholesale,$2.5-5 Million,A
Acme Smoke Fish Co,Adam,Caslow,Male,Partner,Not Available,30 Gem St,Brooklyn,NY,11222,Verified,(718) 383-8585,Acmesmokedfish.Com,Seafood-Wholesale,$100-500 Million,A+
Acme Wines & Spirits,Ben,Bohen,Male,Owner,Western Europe,487 5th Ave # None,Brooklyn,NY,11215,Verified,(718) 832-5101,Zulawine.Com,Beverages (Whls),$5-10 Million,B
Acosta Sales & Marketing,Bill,Chiodo,Male,Senior VP,Mediterranean,405 N French Rd # 114,Amherst,NY,14228,Verified,(716) 636-0484,Acosta.Com,Marketing Programs & Services,$5-10 Million,A+
Action Burger,Steve,Bala,Male,CEO,Hispanic,292 Graham Ave,Brooklyn,NY,11211,Verified,(718) 599-4376,Actionburger.Com,Restaurants,"Less Than $500,000",C+
Adams Fairacre Farms,Mike,Paesano,Male,Manager,Mediterranean,1560 Route 9w,Lake Katrine,NY,12449,Verified,(845) 336-6300,Adamsfarms.Com,Grocers-Retail,$50-100 Million,A
