Company Name,Executive First Name,Executive Last Name,Executive Gender,Executive Title,Executive Ethnicity,Address,City,State,ZIP Code,Record Type,Phone Number Combined,Website,Primary SIC Description,Location Sales Volume Range,Credit Score Alpha
A G Forte LLC,Evans,Darko,Male,Manager,African American,5134 Wengers Mill Rd,Linville,VA,22834,Verified,(540) 833-2713,NULL,Poultry Farms,$2.5-5 Million,B+
Abay Market,Yonas,Almahu,Male,Owner,African American,3811 S George Mason Dr # A,Falls Church,VA,22041,Verified,(703) 998-2366,NULL,Grocers-Retail,"$500,000-1 Million",C+
Ace Cash Express,Tyrell,Jones,Male,Site Manager,African American,1000 Park Ave # 8,Norfolk,VA,23504,Verified,(757) 624-8408,Acecashexpress.Com,Payday Loans,$1-2.5 Million,B+
Acosta Sales & Marketing,Linda,Barbarisi,Female,Vice President,Mediterranean,2551 Eltham Ave # P,Norfolk,VA,23513,Verified,(757) 473-0661,Acosta.Com,Marketing Programs & Services,$20-50 Million,A+
Acro Iris Latino Market,Jose,Benitez,Male,Owner,Hispanic,6111 Staples Mill Rd,Richmond,VA,23228,Verified,(804) 261-7618,NULL,Grocers-Wholesale,$5-10 Million,B+
Alcoholic Beverage Control,Santos,Coudyal,Male,Manager,Hispanic,5722 Union Mill Rd,Clifton,VA,20124,Verified,(703) 803-0060,Abc.Virginia.Gov,Liquors-Retail,$2.5-5 Million,B+
Alcoholic Beverage Control,Neble,Ferede,Male,Manager,African American,6402 Springfield Plz,Springfield,VA,22150,Verified,(703) 866-7835,NULL,Liquors-Retail,$2.5-5 Million,B+
Anheuser-Busch Brewery,James,Baloaloa,Male,Director,Uncoded,7801 Pocahontas Trl,Williamsburg,VA,23185,Verified,(757) 253-3600,Anheuser-Busch.Com,Brewers (Mfrs),Over $1 Billion,A+
Arco Iris Latino Market,Armando,Benitez,Male,President,Hispanic,6445 Midlothian Tpke,Richmond,VA,23225,Verified,(804) 276-2510,NULL,Grocers-Retail,$1-2.5 Million,B+
Asian Imports LLC,Jose,Castro,Male,Manager,Hispanic,8196 Terminal Rd # S,Lorton,VA,22079,Verified,(571) 642-0010,NULL,Food Products (Whls),$5-10 Million,B+
Baguette Republic,Dah,Mane,Male,Owner,Hispanic,44966 Falcon Pl # 110,Sterling,VA,20166,Verified,(703) 870-7740,Baguetterepublic.Com,Bakers-Wholesale,$20-50 Million,A
Bakeco,Mansour,Yazdani,Male,Owner,Middle Eastern,45201 Global Plz,Sterling,VA,20166,Verified,(703) 469-1500,Bake-Co.Com,Bakers-Wholesale,$100-500 Million,A
Balducci's Food Lover's Market,Tavo,Orellana,Male,Manager,Hispanic,6655 Old Dominion Dr,Mc Lean,VA,22101,Verified,(703) 448-3828,Balduccis.Com,Food Products (Whls),$100-500 Million,A+
Bimbo Bakeries USA,Peter,Reed,Male,Regional Mgr,Western Europe,4801 Cox Rd # 101,Glen Allen,VA,23060,Verified,(804) 270-0747,Bimbobakeriesusa.Com,Bakers-Retail,"Less Than $500,000",B
BJ'S Wholesale Club,Mike,Zegowitz,Male,Site Manager,Not Available,13053 Fair Lakes Shopping Ctr,Fairfax,VA,22033,Verified,(703) 803-0200,Bjs.Com,Wholesale Clubs,$20-50 Million,A
BJ'S Wholesale Club,Ron,Pierce,Male,General Mgr,Western Europe,14123 Noblewood Plz,Woodbridge,VA,22193,Verified,(703) 730-0100,Bjs.Com,Wholesale Clubs,$20-50 Million,A
